P34663_101	209
P34663_102	166
P34663_103	167
P34663_104	253
P34663_105	309
P34663_106	138
P34663_107	157
P34663_108	106
P34663_109	110
P34663_110	036
P34663_111	123
P34663_112	286
P34663_113	336
P34663_114	285
P34663_115	155
P34663_116	129
P34663_117	265
P34663_118	171
P34663_119	014
P34663_120	121
P34663_121	011
P34663_122	057
P34663_123	229
P34663_124	063
P34663_125	055
P34663_126	329
P34663_127	434
P34663_128	015
P34663_129	223
P34663_130	130
P34663_131	125
P34663_132	001
P34663_133	296
P34663_134	142
P34663_135	240
P34663_136	376
P34663_137	019
P34663_138	335
P34663_139	059
P34663_140	295
P34663_141	225
P34663_142	333
P34663_143	160
P34663_144	299
P34663_145	066
P34663_146	050
P34663_147	046
P34663_148	158
P34663_149	168
P34663_150	288
P34663_151	128
P34663_152	041
P34663_153	271
P34663_154	113
P34663_155	146
P34663_156	392
P34663_157	124
P34663_158	305
P34663_159	269
P34663_160	438
P34663_161	292
P34663_162	448
P34663_163	310
P34663_164	064
P34663_165	148
P34663_166	144
P34663_167	231
P34663_168	217
P34663_169	048
P34663_170	365
P34663_171	020
P34663_172	039
P34663_173	122
P34663_174	042
P34663_175	065
P34663_176	031
P34663_177	211
P34663_178	105
P34663_179	277
P34663_180	407
P34663_181	047
P34663_182	044
P34663_183	027
P34663_184	023
P34663_185	245
P34663_186	018
P34663_187	147
P34663_188	479
P34663_189	246
P34663_190	012
P34663_191	233
P34663_192	250
P34663_193	234
P34663_201	340
P34663_202	013
P34663_203	213
P34663_204	134
P34663_205	276
P34663_206	457
P34663_207	060
P34663_208	239
P34663_209	133
P34663_210	040
P34663_211	300
P34663_212	068
P34663_213	244
P34663_214	170
P34663_215	391
P34663_216	202
P34663_217	207
P34663_218	447
P34663_219	260
P34663_220	446
P34663_221	263
P34663_222	472
P34663_223	445
P34663_224	397
P34663_225	421
P34663_226	002
P34663_227	368
P34663_228	220
P34663_229	381
P34663_230	473
P34663_231	453
P34663_232	427
P34663_233	320
P34663_234	444
P34663_235	135
P34663_236	456
P34663_237	351
P34663_238	373
P34663_239	051
P34663_240	410
P34663_241	436
P34663_242	312
P34663_243	433
P34663_244	026
P34663_245	034
P34663_246	289
P34663_248	375
P34663_249	103
P34663_250	298
P34663_251	007
P34663_252	480
P34663_253	127
P34663_254	405
P34663_255	449
P34663_256	467
P34663_257	283
P34663_258	259
P34663_259	035
P34663_260	243
P34663_261	072
P34663_262	317
P34663_263	488
P34663_264	256
P34663_266	393
P34663_268	327
P34663_269	459
P34663_270	451
P34663_271	301
P34663_272	053
P34663_273	390
P34663_274	118
P34663_275	348
P34663_276	366
P34663_277	474
P34663_278	460
P34663_279	251
P34663_280	230
P34663_281	485
P34663_282	071
P34663_283	364
P34663_284	441
P34663_285	266
P34663_286	204
P34663_287	450
P34663_288	395
P34663_290	306
P34663_292	216
