ID	Box	Pop	Temp	Diet	Phosphorus	GUT	Days_spent	N_clutches	N_clutches_per day	Av_stick_height	Ctmax_time	Ctmax_temp	Cons_animal	Cons_plant	Animal_per_day	Plant_per_day	Ratio_A:P	Total_cons	Cons_rate	Ini_weight	Fin_weight	Growth_rate	Shell_IL	Shell_IAA	Shell_FL	Shell_FAA
001	1	SE	20	A	0	x	74	0	0	0.633333333333333	196	37.3	579.597575757576	0	7.83239967239968	0		579.597575757576	7.94	171.86	279.66	1.45675675675676	9.40833333333333	31.2206666666667	14.3666666666667	85.8903333333333
002	1	SE	20	A	0	x	74	0	0	1.08333333333333	193	36.1	1430.68575757576	0	19.3335913185913	0		1430.68575757576	19.6	200.91	1028.85	11.1883783783784	11.49	39.1166666666667	25.9113333333333	220.772
007	1	SE	20	P	0	x	74	0	0	0.983333333333333	217	38.4	0	949.244848484848	0	12.8276330876331		949.244848484848	13	195.4	491.46	4.00081081081081	11.0626666666667	36.6536666666667	19.4596666666667	127.513
011	1	SE	20	A	3	x	74	0	0	1.08333333333333	206	37.4	807.857121212121	0	10.9169881244881	0		807.857121212121	11.07	119.68	431.01	4.20716216216216	9.096	29.097	17.15	100.031
012	1	SE	20	A	3	x	74	0	0	1.3	220	39.4	1100.77166666667	0	14.8752927927928	0		1100.77166666667	15.08	175.09	920.4	10.0717567567568	11.935	35.924	25.381	195.137666666667
013	1	SE	20	M	0	x	70	6	0.0857142857142857	0.3	212	38	517.603636363637	622.958181818182	7.39433766233766	8.8994025974026	01:01.20	1140.56181818182	16.53	110.81	409.3	4.26414285714286	8.73166666666667	29.3453333333333	16.087	109.773666666667
014	1	SE	20	M	0	x	70	1	0.0142857142857143	0.416666666666667	215	38.4	338.541818181818	291.169090909091	4.83631168831169	4.15955844155844	1 : 0.86	629.710909090909	9.13	51.83	269.54	3.11014285714286	7.50366666666667	15.4726666666667	13.7896666666667	60.9793333333333
015	1	SE	20	M	3	x	74	43	0.581081081081081	0.883333333333333	207	38.2	425.494393939394	448.322525252525	5.74992424242424	6.0584125034125	1 : 1.05	873.816919191919	11.97	154.73	171.85	0.231351351351351	11.2196666666667	40.1966666666667	11.8646666666667	55.6596666666667
018	1	SE	20	P	3	x	74	9	0.121621621621622	0.5	222	39.1	0	639.579191919192	0	8.64296205296205		639.579191919192	8.76	94.56	308.05	2.885	9.09266666666667	27.7696666666667	16.5083333333333	84.367
019	2	SE	20	A	0	x	74	4	0.0540540540540541	0.583333333333333	232	39.9	733.700303030303	0	9.91486895986896	0		733.700303030303	10.05	114.42	413.96	4.04783783783784	9.24166666666667	31.3173333333333	16.5193333333333	94.8323333333333
020	2	SE	20	A	0	x	74	1	0.0135135135135135	0.383333333333333	216	38.4	677.556666666667	0	9.15617117117117	0		677.556666666667	9.28	178.88	374.98	2.65	11.154	42.3306666666667	16.0936666666667	82.494
023	2	SE	20	M	3	x	74	5	0.0675675675675676	0.45	221	39.1	391.068484848485	430.444646464647	5.28470925470926	5.81681954681955	1 : 1.1	821.513131313132	11.25	136.36	255.85	1.61472972972973	9.85933333333333	42.8106666666667	13.7186666666667	86.1506666666667
026	2	SE	20	P	0	x	74	0	0	0.466666666666667	196	37.4	0	571.458484848485	0	7.72241195741196		571.458484848485	7.83	138.52	429.04	3.92594594594595	8.69366666666667	29.3223333333333	16.9446666666667	98.3183333333333
